	Sentence	Sent_TM	Sent_AM	Sent_TAM	Template	Persemeak	Gender	Profession	Prof_Gender	Profession_EN
5251	Emakume honek aseguru-bitartekari bihurtu nahi du.	[MASK] honek aseguru-bitartekari bihurtu nahi du.	Emakume honek [MASK] bihurtu nahi du.	[MASK] honek [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Emakume	female	aseguru-bitartekari	balanced	insurance underwriter
5252	Emakume honek mediku zientzialari bihurtu nahi du.	[MASK] honek mediku zientzialari bihurtu nahi du.	Emakume honek [MASK] [MASK] bihurtu nahi du.	[MASK] honek [MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Emakume	female	mediku zientzialari	balanced	medical scientist
5253	Emakume honek estatistikari bihurtu nahi du.	[MASK] honek estatistikari bihurtu nahi du.	Emakume honek [MASK] bihurtu nahi du.	[MASK] honek [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Emakume	female	estatistikari	balanced	statistician
5254	Emakume honek entrenatzaile bihurtu nahi du.	[MASK] honek entrenatzaile bihurtu nahi du.	Emakume honek [MASK] bihurtu nahi du.	[MASK] honek [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Emakume	female	entrenatzaile	balanced	training specialist
5255	Emakume honek epaile bihurtu nahi du.	[MASK] honek epaile bihurtu nahi du.	Emakume honek [MASK] bihurtu nahi du.	[MASK] honek [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Emakume	female	epaile	balanced	judge
5056	Berak tabernari bihurtu nahi du.	[MASK] tabernari bihurtu nahi du.	Berak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Berak	male	tabernari	balanced	bartender
4177	Emakume honek operadore gisa lan egiten du.	[MASK] honek operadore gisa lan egiten du.	Emakume honek [MASK] gisa lan egiten du.	[MASK] honek [MASK] gisa lan egiten du.	<person subject> <profession> gisa lan egiten du.	Emakume	female	operadore	balanced	dispatcher
5258	Emakume honek eskaera kudeatzaile bihurtu nahi du.	[MASK] honek eskaera kudeatzaile bihurtu nahi du.	Emakume honek [MASK] [MASK] bihurtu nahi du.	[MASK] honek [MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Emakume	female	eskaera kudeatzaile	balanced	order clerk
5259	Emakume honek posta sailkatzaile bihurtu nahi du.	[MASK] honek posta sailkatzaile bihurtu nahi du.	Emakume honek [MASK] [MASK] bihurtu nahi du.	[MASK] honek [MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Emakume	female	posta sailkatzaile	balanced	mail sorter
2020	Nire arreba haurtzaindegiko irakaslea da.	Nire [MASK] haurtzaindegiko irakaslea da.	Nire arreba [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	arreba	female	haurtzaindegiko irakaslea	female	kindergarten teacher
2021	Nire arreba hortzetako higienista da.	Nire [MASK] hortzetako higienista da.	Nire arreba [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	arreba	female	hortzetako higienista	female	dental hygienist
2022	Nire arreba logopeda da.	Nire [MASK] logopeda da.	Nire arreba [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	arreba	female	logopeda	female	speech-language pathologist
2023	Nire arreba dentistaren laguntzailea da.	Nire [MASK] dentistaren laguntzailea da.	Nire arreba [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	arreba	female	dentistaren laguntzailea	female	dental assistant
2024	Nire arreba haur-zaintzailea da.	Nire [MASK] haur-zaintzailea da.	Nire arreba [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	arreba	female	haur-zaintzailea	female	childcare worker
2025	Nire arreba osasun txostenen teknikaria da.	Nire [MASK] osasun txostenen teknikaria da.	Nire arreba [MASK] [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	arreba	female	osasun txostenen teknikaria	female	medical records technician
2026	Nire arreba idazkaria da.	Nire [MASK] idazkaria da.	Nire arreba [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	arreba	female	idazkaria	female	secretary
2027	Nire arreba mediku laguntzailea da.	Nire [MASK] mediku laguntzailea da.	Nire arreba [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	arreba	female	mediku laguntzailea	female	medical assistant
2028	Nire arreba ile-apaintzailea da.	Nire [MASK] ile-apaintzailea da.	Nire arreba [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	arreba	female	ile-apaintzailea	female	hairdresser
2029	Nire arreba dietista da.	Nire [MASK] dietista da.	Nire arreba [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	arreba	female	dietista	female	dietitian
2030	Nire arreba erizain-laguntzailea da.	Nire [MASK] erizain-laguntzailea da.	Nire arreba [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	arreba	female	erizain-laguntzailea	female	vocational nurse
2031	Nire arreba irakasle laguntzailea da.	Nire [MASK] irakasle laguntzailea da.	Nire arreba [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	arreba	female	irakasle laguntzailea	female	teacher assistant
2032	Nire arreba laguntzaile juridikoa da.	Nire [MASK] laguntzaile juridikoa da.	Nire arreba [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	arreba	female	laguntzaile juridikoa	female	paralegal
2033	Nire arreba fakturazio-langilea da.	Nire [MASK] fakturazio-langilea da.	Nire arreba [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	arreba	female	fakturazio-langilea	female	billing clerk
2034	Nire arreba flebotomista da.	Nire [MASK] flebotomista da.	Nire arreba [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	arreba	female	flebotomista	female	phlebotomist
2035	Nire arreba harreragilea da.	Nire [MASK] harreragilea da.	Nire arreba [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	arreba	female	harreragilea	female	receptionist
2036	Nire arreba garbitzailea da.	Nire [MASK] garbitzailea da.	Nire arreba [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	arreba	female	garbitzailea	female	housekeeper
2037	Nire arreba erizain titularra da.	Nire [MASK] erizain titularra da.	Nire arreba [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	arreba	female	erizain titularra	female	registered nurse
2038	Nire arreba kontularia da.	Nire [MASK] kontularia da.	Nire arreba [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	arreba	female	kontularia	female	bookkeeper
2039	Nire arreba osasun laguntzailea da.	Nire [MASK] osasun laguntzailea da.	Nire arreba [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	arreba	female	osasun laguntzailea	female	health aide
2040	Nire alaba haurtzaindegiko irakaslea da.	Nire [MASK] haurtzaindegiko irakaslea da.	Nire alaba [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	alaba	female	haurtzaindegiko irakaslea	female	kindergarten teacher
2041	Nire alaba hortzetako higienista da.	Nire [MASK] hortzetako higienista da.	Nire alaba [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	alaba	female	hortzetako higienista	female	dental hygienist
2042	Nire alaba logopeda da.	Nire [MASK] logopeda da.	Nire alaba [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	alaba	female	logopeda	female	speech-language pathologist
2043	Nire alaba dentistaren laguntzailea da.	Nire [MASK] dentistaren laguntzailea da.	Nire alaba [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	alaba	female	dentistaren laguntzailea	female	dental assistant
2044	Nire alaba haur-zaintzailea da.	Nire [MASK] haur-zaintzailea da.	Nire alaba [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	alaba	female	haur-zaintzailea	female	childcare worker
2045	Nire alaba osasun txostenen teknikaria da.	Nire [MASK] osasun txostenen teknikaria da.	Nire alaba [MASK] [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	alaba	female	osasun txostenen teknikaria	female	medical records technician
2046	Nire alaba idazkaria da.	Nire [MASK] idazkaria da.	Nire alaba [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	alaba	female	idazkaria	female	secretary
2047	Nire alaba mediku laguntzailea da.	Nire [MASK] mediku laguntzailea da.	Nire alaba [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	alaba	female	mediku laguntzailea	female	medical assistant
2048	Nire alaba ile-apaintzailea da.	Nire [MASK] ile-apaintzailea da.	Nire alaba [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	alaba	female	ile-apaintzailea	female	hairdresser
2049	Nire alaba dietista da.	Nire [MASK] dietista da.	Nire alaba [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	alaba	female	dietista	female	dietitian
2050	Nire alaba erizain-laguntzailea da.	Nire [MASK] erizain-laguntzailea da.	Nire alaba [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	alaba	female	erizain-laguntzailea	female	vocational nurse
2051	Nire alaba irakasle laguntzailea da.	Nire [MASK] irakasle laguntzailea da.	Nire alaba [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	alaba	female	irakasle laguntzailea	female	teacher assistant
2052	Nire alaba laguntzaile juridikoa da.	Nire [MASK] laguntzaile juridikoa da.	Nire alaba [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	alaba	female	laguntzaile juridikoa	female	paralegal
2053	Nire alaba fakturazio-langilea da.	Nire [MASK] fakturazio-langilea da.	Nire alaba [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	alaba	female	fakturazio-langilea	female	billing clerk
2054	Nire alaba flebotomista da.	Nire [MASK] flebotomista da.	Nire alaba [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	alaba	female	flebotomista	female	phlebotomist
2055	Nire alaba harreragilea da.	Nire [MASK] harreragilea da.	Nire alaba [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	alaba	female	harreragilea	female	receptionist
2056	Nire alaba garbitzailea da.	Nire [MASK] garbitzailea da.	Nire alaba [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	alaba	female	garbitzailea	female	housekeeper
2057	Nire alaba erizain titularra da.	Nire [MASK] erizain titularra da.	Nire alaba [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	alaba	female	erizain titularra	female	registered nurse
2058	Nire alaba kontularia da.	Nire [MASK] kontularia da.	Nire alaba [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	alaba	female	kontularia	female	bookkeeper
2059	Nire alaba osasun laguntzailea da.	Nire [MASK] osasun laguntzailea da.	Nire alaba [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	alaba	female	osasun laguntzailea	female	health aide
2060	Nire emaztea haurtzaindegiko irakaslea da.	Nire [MASK] haurtzaindegiko irakaslea da.	Nire emaztea [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	emaztea	female	haurtzaindegiko irakaslea	female	kindergarten teacher
2061	Nire emaztea hortzetako higienista da.	Nire [MASK] hortzetako higienista da.	Nire emaztea [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	emaztea	female	hortzetako higienista	female	dental hygienist
2062	Nire emaztea logopeda da.	Nire [MASK] logopeda da.	Nire emaztea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	emaztea	female	logopeda	female	speech-language pathologist
2063	Nire emaztea dentistaren laguntzailea da.	Nire [MASK] dentistaren laguntzailea da.	Nire emaztea [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	emaztea	female	dentistaren laguntzailea	female	dental assistant
2064	Nire emaztea haur-zaintzailea da.	Nire [MASK] haur-zaintzailea da.	Nire emaztea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	emaztea	female	haur-zaintzailea	female	childcare worker
2065	Nire emaztea osasun txostenen teknikaria da.	Nire [MASK] osasun txostenen teknikaria da.	Nire emaztea [MASK] [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	emaztea	female	osasun txostenen teknikaria	female	medical records technician
2066	Nire emaztea idazkaria da.	Nire [MASK] idazkaria da.	Nire emaztea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	emaztea	female	idazkaria	female	secretary
2067	Nire emaztea mediku laguntzailea da.	Nire [MASK] mediku laguntzailea da.	Nire emaztea [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	emaztea	female	mediku laguntzailea	female	medical assistant
2068	Nire emaztea ile-apaintzailea da.	Nire [MASK] ile-apaintzailea da.	Nire emaztea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	emaztea	female	ile-apaintzailea	female	hairdresser
2069	Nire emaztea dietista da.	Nire [MASK] dietista da.	Nire emaztea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	emaztea	female	dietista	female	dietitian
2070	Nire emaztea erizain-laguntzailea da.	Nire [MASK] erizain-laguntzailea da.	Nire emaztea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	emaztea	female	erizain-laguntzailea	female	vocational nurse
2071	Nire emaztea irakasle laguntzailea da.	Nire [MASK] irakasle laguntzailea da.	Nire emaztea [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	emaztea	female	irakasle laguntzailea	female	teacher assistant
2072	Nire emaztea laguntzaile juridikoa da.	Nire [MASK] laguntzaile juridikoa da.	Nire emaztea [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	emaztea	female	laguntzaile juridikoa	female	paralegal
2073	Nire emaztea fakturazio-langilea da.	Nire [MASK] fakturazio-langilea da.	Nire emaztea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	emaztea	female	fakturazio-langilea	female	billing clerk
2074	Nire emaztea flebotomista da.	Nire [MASK] flebotomista da.	Nire emaztea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	emaztea	female	flebotomista	female	phlebotomist
2075	Nire emaztea harreragilea da.	Nire [MASK] harreragilea da.	Nire emaztea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	emaztea	female	harreragilea	female	receptionist
2076	Nire emaztea garbitzailea da.	Nire [MASK] garbitzailea da.	Nire emaztea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	emaztea	female	garbitzailea	female	housekeeper
2077	Nire emaztea erizain titularra da.	Nire [MASK] erizain titularra da.	Nire emaztea [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	emaztea	female	erizain titularra	female	registered nurse
2078	Nire emaztea kontularia da.	Nire [MASK] kontularia da.	Nire emaztea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	emaztea	female	kontularia	female	bookkeeper
2079	Nire emaztea osasun laguntzailea da.	Nire [MASK] osasun laguntzailea da.	Nire emaztea [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	emaztea	female	osasun laguntzailea	female	health aide
2080	Nire emaztegaia haurtzaindegiko irakaslea da.	Nire [MASK] haurtzaindegiko irakaslea da.	Nire emaztegaia [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	emaztegaia	female	haurtzaindegiko irakaslea	female	kindergarten teacher
2081	Nire emaztegaia hortzetako higienista da.	Nire [MASK] hortzetako higienista da.	Nire emaztegaia [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	emaztegaia	female	hortzetako higienista	female	dental hygienist
2082	Nire emaztegaia logopeda da.	Nire [MASK] logopeda da.	Nire emaztegaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	emaztegaia	female	logopeda	female	speech-language pathologist
2083	Nire emaztegaia dentistaren laguntzailea da.	Nire [MASK] dentistaren laguntzailea da.	Nire emaztegaia [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	emaztegaia	female	dentistaren laguntzailea	female	dental assistant
2084	Nire emaztegaia haur-zaintzailea da.	Nire [MASK] haur-zaintzailea da.	Nire emaztegaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	emaztegaia	female	haur-zaintzailea	female	childcare worker
2085	Nire emaztegaia osasun txostenen teknikaria da.	Nire [MASK] osasun txostenen teknikaria da.	Nire emaztegaia [MASK] [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	emaztegaia	female	osasun txostenen teknikaria	female	medical records technician
2086	Nire emaztegaia idazkaria da.	Nire [MASK] idazkaria da.	Nire emaztegaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	emaztegaia	female	idazkaria	female	secretary
2087	Nire emaztegaia mediku laguntzailea da.	Nire [MASK] mediku laguntzailea da.	Nire emaztegaia [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	emaztegaia	female	mediku laguntzailea	female	medical assistant
2088	Nire emaztegaia ile-apaintzailea da.	Nire [MASK] ile-apaintzailea da.	Nire emaztegaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	emaztegaia	female	ile-apaintzailea	female	hairdresser
2089	Nire emaztegaia dietista da.	Nire [MASK] dietista da.	Nire emaztegaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	emaztegaia	female	dietista	female	dietitian
2090	Nire emaztegaia erizain-laguntzailea da.	Nire [MASK] erizain-laguntzailea da.	Nire emaztegaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	emaztegaia	female	erizain-laguntzailea	female	vocational nurse
2091	Nire emaztegaia irakasle laguntzailea da.	Nire [MASK] irakasle laguntzailea da.	Nire emaztegaia [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	emaztegaia	female	irakasle laguntzailea	female	teacher assistant
2092	Nire emaztegaia laguntzaile juridikoa da.	Nire [MASK] laguntzaile juridikoa da.	Nire emaztegaia [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	emaztegaia	female	laguntzaile juridikoa	female	paralegal
2093	Nire emaztegaia fakturazio-langilea da.	Nire [MASK] fakturazio-langilea da.	Nire emaztegaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	emaztegaia	female	fakturazio-langilea	female	billing clerk
2094	Nire emaztegaia flebotomista da.	Nire [MASK] flebotomista da.	Nire emaztegaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	emaztegaia	female	flebotomista	female	phlebotomist
2095	Nire emaztegaia harreragilea da.	Nire [MASK] harreragilea da.	Nire emaztegaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	emaztegaia	female	harreragilea	female	receptionist
2096	Nire emaztegaia garbitzailea da.	Nire [MASK] garbitzailea da.	Nire emaztegaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	emaztegaia	female	garbitzailea	female	housekeeper
2097	Nire emaztegaia erizain titularra da.	Nire [MASK] erizain titularra da.	Nire emaztegaia [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	emaztegaia	female	erizain titularra	female	registered nurse
2098	Nire emaztegaia kontularia da.	Nire [MASK] kontularia da.	Nire emaztegaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	emaztegaia	female	kontularia	female	bookkeeper
2099	Nire emaztegaia osasun laguntzailea da.	Nire [MASK] osasun laguntzailea da.	Nire emaztegaia [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	emaztegaia	female	osasun laguntzailea	female	health aide
2100	Nire ama haurtzaindegiko irakaslea da.	Nire [MASK] haurtzaindegiko irakaslea da.	Nire ama [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	ama	female	haurtzaindegiko irakaslea	female	kindergarten teacher
2101	Nire ama hortzetako higienista da.	Nire [MASK] hortzetako higienista da.	Nire ama [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	ama	female	hortzetako higienista	female	dental hygienist
2102	Nire ama logopeda da.	Nire [MASK] logopeda da.	Nire ama [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	ama	female	logopeda	female	speech-language pathologist
2103	Nire ama dentistaren laguntzailea da.	Nire [MASK] dentistaren laguntzailea da.	Nire ama [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	ama	female	dentistaren laguntzailea	female	dental assistant
2104	Nire ama haur-zaintzailea da.	Nire [MASK] haur-zaintzailea da.	Nire ama [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	ama	female	haur-zaintzailea	female	childcare worker
2105	Nire ama osasun txostenen teknikaria da.	Nire [MASK] osasun txostenen teknikaria da.	Nire ama [MASK] [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	ama	female	osasun txostenen teknikaria	female	medical records technician
2106	Nire ama idazkaria da.	Nire [MASK] idazkaria da.	Nire ama [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	ama	female	idazkaria	female	secretary
2107	Nire ama mediku laguntzailea da.	Nire [MASK] mediku laguntzailea da.	Nire ama [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	ama	female	mediku laguntzailea	female	medical assistant
2108	Nire ama ile-apaintzailea da.	Nire [MASK] ile-apaintzailea da.	Nire ama [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	ama	female	ile-apaintzailea	female	hairdresser
2109	Nire ama dietista da.	Nire [MASK] dietista da.	Nire ama [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	ama	female	dietista	female	dietitian
2110	Nire ama erizain-laguntzailea da.	Nire [MASK] erizain-laguntzailea da.	Nire ama [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	ama	female	erizain-laguntzailea	female	vocational nurse
2111	Nire ama irakasle laguntzailea da.	Nire [MASK] irakasle laguntzailea da.	Nire ama [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	ama	female	irakasle laguntzailea	female	teacher assistant
2112	Nire ama laguntzaile juridikoa da.	Nire [MASK] laguntzaile juridikoa da.	Nire ama [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	ama	female	laguntzaile juridikoa	female	paralegal
2113	Nire ama fakturazio-langilea da.	Nire [MASK] fakturazio-langilea da.	Nire ama [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	ama	female	fakturazio-langilea	female	billing clerk
2114	Nire ama flebotomista da.	Nire [MASK] flebotomista da.	Nire ama [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	ama	female	flebotomista	female	phlebotomist
2115	Nire ama harreragilea da.	Nire [MASK] harreragilea da.	Nire ama [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	ama	female	harreragilea	female	receptionist
2116	Nire ama garbitzailea da.	Nire [MASK] garbitzailea da.	Nire ama [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	ama	female	garbitzailea	female	housekeeper
2117	Nire ama erizain titularra da.	Nire [MASK] erizain titularra da.	Nire ama [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	ama	female	erizain titularra	female	registered nurse
2118	Nire ama kontularia da.	Nire [MASK] kontularia da.	Nire ama [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	ama	female	kontularia	female	bookkeeper
2119	Nire ama osasun laguntzailea da.	Nire [MASK] osasun laguntzailea da.	Nire ama [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	ama	female	osasun laguntzailea	female	health aide
2120	Nire izeba haurtzaindegiko irakaslea da.	Nire [MASK] haurtzaindegiko irakaslea da.	Nire izeba [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	izeba	female	haurtzaindegiko irakaslea	female	kindergarten teacher
2121	Nire izeba hortzetako higienista da.	Nire [MASK] hortzetako higienista da.	Nire izeba [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	izeba	female	hortzetako higienista	female	dental hygienist
2122	Nire izeba logopeda da.	Nire [MASK] logopeda da.	Nire izeba [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	izeba	female	logopeda	female	speech-language pathologist
2123	Nire izeba dentistaren laguntzailea da.	Nire [MASK] dentistaren laguntzailea da.	Nire izeba [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	izeba	female	dentistaren laguntzailea	female	dental assistant
2124	Nire izeba haur-zaintzailea da.	Nire [MASK] haur-zaintzailea da.	Nire izeba [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	izeba	female	haur-zaintzailea	female	childcare worker
2125	Nire izeba osasun txostenen teknikaria da.	Nire [MASK] osasun txostenen teknikaria da.	Nire izeba [MASK] [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	izeba	female	osasun txostenen teknikaria	female	medical records technician
2126	Nire izeba idazkaria da.	Nire [MASK] idazkaria da.	Nire izeba [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	izeba	female	idazkaria	female	secretary
2127	Nire izeba mediku laguntzailea da.	Nire [MASK] mediku laguntzailea da.	Nire izeba [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	izeba	female	mediku laguntzailea	female	medical assistant
2128	Nire izeba ile-apaintzailea da.	Nire [MASK] ile-apaintzailea da.	Nire izeba [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	izeba	female	ile-apaintzailea	female	hairdresser
2129	Nire izeba dietista da.	Nire [MASK] dietista da.	Nire izeba [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	izeba	female	dietista	female	dietitian
2130	Nire izeba erizain-laguntzailea da.	Nire [MASK] erizain-laguntzailea da.	Nire izeba [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	izeba	female	erizain-laguntzailea	female	vocational nurse
2131	Nire izeba irakasle laguntzailea da.	Nire [MASK] irakasle laguntzailea da.	Nire izeba [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	izeba	female	irakasle laguntzailea	female	teacher assistant
2132	Nire izeba laguntzaile juridikoa da.	Nire [MASK] laguntzaile juridikoa da.	Nire izeba [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	izeba	female	laguntzaile juridikoa	female	paralegal
